id_transaction,date_transaction,id_fournisseur,id_categorie,id_centre_cout,id_acheteur,id_contrat,montant_ht,devise,statut_validation,delai_traitement_jours,flag_maverick
TR-0000018,2023-11-05,FRN-143,CAT-025,CC-006,ACH-007,CTR-055,8365.46,EUR,Validé,1,False
TR-0000019,2023-03-22,FRN-093,CAT-012,CC-003,ACH-001,CTR-034,931.95,EUR,Validé,5,False
TR-0000020,2023-08-04,FRN-028,CAT-002,CC-007,ACH-008,CTR-007,13326.14,EUR,En attente,5,False
TR-0000021,2023-04-19,FRN-185,CAT-034,CC-003,ACH-001,,13981.19,EUR,Validé,6,False
TR-0000022,2023-02-11,FRN-111,CAT-012,CC-013,ACH-028,,555.65,EUR,Validé,18,True
TR-0000023,2023-11-20,FRN-194,CAT-036,CC-005,ACH-016,,262.85,EUR,Validé,2,False
TR-0000024,2023-09-19,FRN-111,CAT-014,CC-018,ACH-032,,708.72,EUR,Validé,17,True
TR-0000025,2023-01-14,FRN-098,CAT-011,CC-005,ACH-012,CTR-034,315.43,EUR,Validé,4,False
TR-0000026,2023-04-26,FRN-192,CAT-039,CC-002,ACH-008,CTR-070,610.92,EUR,Validé,3,False
TR-0000027,2023-06-24,FRN-097,CAT-011,CC-002,ACH-004,CTR-037,257.53,EUR,Validé,3,False
TR-0000028,2023-11-02,FRN-091,CAT-010,CC-014,ACH-027,,415.11,EUR,Validé,7,False
TR-0000029,2023-09-11,FRN-016,CAT-001,CC-016,ACH-033,CTR-006,16074.34,EUR,Validé,6,False
TR-0000030,2023-04-21,FRN-126,CAT-016,CC-014,ACH-030,,8790.57,EUR,Validé,7,False
TR-0000031,2023-04-10,FRN-120,CAT-019,C-001,ACH-002,CTR-046,1078.53,EUR,Validé,2,False
TR-0000032,2023-04-21,FRN-096,CAT-015,CC-016,ACH-032,CTR-037,484.96,EUR,Validé,7,False
TR-0000033,2023-11-05,FRN-035,CAT-002,CC-005,ACH-005,,24241.06,EUR,Validé,6,True
TR-0000034,2023-02-22,FRN-056,CAT-002,C-001,ACH-005,,6608.13,EUR,Validé,17,True
TR-0000035,2023-04-27,FRN-192,CAT-036,C-001,ACH-011,CTR-070,326.91,EUR,Validé,4,False
TR-0000036,2023-10-04,FRN-095,CAT-013,CC-002,ACH-005,CTR-040,954.21,EUR,Validé,8,False
TR-0000037,2023-12-06,FRN-105,CAT-014,CC-009,ACH-019,,623.61,EUR,Validé,6,True
TR-0000038,2023-03-08,FRN-193,CAT-039,CC-003,ACH-001,,321.4,EUR,Validé,5,False
TR-0000039,2023-12-13,FRN-194,CAT-036,CC-008,ACH-014,,1500.0,EUR,Validé,2,False
TR-0000040,2023-09-09,FRN-098,CAT-015,C-001,ACH-004,CTR-034,255.61,EUR,Validé,6,False
TR-0000041,2023-12-28,FRN-124,CAT-017,CC-009,ACH-022,CTR-043,13968.94,EUR,Validé,5,False
TR-0000042,2023-05-23,FRN-097,CAT-014,CC-003,ACH-012,,550.33,EUR,Validé,5,False
TR-0000043,2023-06-15,FRN-093,CAT-015,CC-002,ACH-006,,832.82,EUR,Validé,3,False
TR-0000044,2023-02-01,FRN-105,CAT-012,CC-008,ACH-004,,739.97,EUR,Validé,11,True
TR-0000045,2023-08-17,FRN-103,CAT-013,CC-020,ACH-038,CTR-034,994.23,EUR,Validé,9,False
TR-0000046,2023-08-18,FRN-015,CAT-004,CC-014,ACH-028,CTR-012,15066.22,EUR,Validé,4,False
TR-0000047,2023-08-17,FRN-009,CAT-002,CC-015,ACH-027,,4378.81,EUR,Validé,1,False
TR-0000048,2023-10-12,FRN-020,CAT-002,CC-012,ACH-023,CTR-014,13931.33,EUR,Validé,6,False
TR-0000049,2023-09-25,FRN-097,CAT-015,CC-002,ACH-003,,1332.13,EUR,Validé,8,False
TR-0000050,2023-06-05,FRN-094,CAT-013,CC-013,ACH-026,CTR-035,336.89,EUR,Validé,2,False
TR-0000051,2023-05-09,FRN-076,CAT-009,CC-006,ACH-014,CTR-029,2880.6,EUR,Validé,4,False
TR-0000052,2023-07-01,FRN-148,CAT-026,CC-017,ACH-034,CTR-056,8184.93,EUR,Validé,4,False
TR-0000053,2023-05-13,FRN-009,CAT-001,CC-020,ACH-039,CTR-008,9833.2,EUR,Validé,3,False
TR-0000054,2023-07-09,FRN-155,CAT-024,CC-005,ACH-005,,1417.8,EUR,En attente,6,True
TR-0000055,2023-10-26,FRN-167,CAT-028,CC-007,ACH-015,CTR-064,6897.61,EUR,Validé,4,False
TR-0000056,2023-11-22,FRN-018,CAT-003,CC-011,ACH-022,CTR-008,26584.74,EUR,Validé,7,False
TR-0000057,2023-03-08,FRN-106,CAT-015,CC-019,ACH-040,,484.83,EUR,Validé,10,True
TR-0000058,2023-04-16,FRN-191,CAT-039,CC-003,ACH-015,,370.62,EUR,Validé,6,False
TR-0000059,2023-11-22,FRN-091,CAT-010,CC-018,ACH-034,CTR-034,2500.0,EUR,Validé,4,False
TR-0000060,2023-08-20,FRN-009,CAT-001,CC-008,ACH-006,,3889.13,EUR,Validé,2,False
TR-0000061,2023-11-23,FRN-196,CAT-037,CC-008,ACH-016,,314.17,EUR,Validé,10,True
TR-0000062,2023-02-27,FRN-102,CAT-011,CC-003,ACH-016,,1276.91,EUR,En attente,3,False
TR-0000063,2023-12-26,FRN-037,CAT-002,CC-002,ACH-014,,18967.18,EUR,Validé,18,True
TR-0000064,2023-03-08,FRN-092,CAT-015,CC-009,ACH-023,CTR-039,2286.26,EUR,Validé,3,False
TR-0000065,2023-05-23,FRN-113,CAT-010,CC-015,ACH-028,,729.99,EUR,Validé,8,True
TR-0000066,2023-06-12,FRN-125,CAT-017,CC-018,ACH-035,,1880.43,EUR,Validé,7,False
TR-0000067,2023-05-27,FRN-198,CAT-037,CC-005,ACH-007,,321.51,EUR,Validé,7,True
TR-0000068,2023-01-23,FRN-095,CAT-010,CC-011,ACH-019,CTR-040,608.16,EUR,Validé,1,False
TR-0000069,2023-07-27,FRN-175,CAT-029,CC-011,ACH-018,,2750.31,EUR,Validé,10,True
TR-0000070,2023-12-15,FRN-113,CAT-010,CC-003,ACH-012,,519.36,EUR,Validé,9,True
TR-0000071,2023-06-23,FRN-095,CAT-011,CC-009,ACH-019,CTR-040,578.71,EUR,Validé,7,False
TR-0000072,2023-01-03,FRN-056,CAT-002,CC-002,ACH-016,,27852.88,EUR,Validé,6,True
TR-0000073,2023-03-09,FRN-039,CAT-002,CC-003,ACH-015,,51725.98,EUR,Validé,16,True
TR-0000074,2023-04-14,FRN-084,CAT-007,CC-006,ACH-012,,3567.17,EUR,Validé,15,True
TR-0000075,2023-03-25,FRN-111,CAT-013,CC-009,ACH-021,,1011.52,EUR,Validé,12,True
TR-0000076,2023-04-18,FRN-165,CAT-027,CC-004,ACH-015,CTR-062,5561.95,EUR,Validé,5,False
TR-0000077,2023-06-03,FRN-103,CAT-011,CC-008,ACH-002,,821.74,EUR,Validé,3,False
TR-0000078,2023-06-04,FRN-012,CAT-003,CC-013,ACH-028,CTR-007,46451.59,EUR,Validé,1,False
TR-0000079,2023-09-01,FRN-106,CAT-013,CC-020,ACH-039,,905.9,EUR,Validé,6,True
TR-0000080,2023-09-06,FRN-002,CAT-002,CC-012,ACH-024,CTR-002,37071.97,EUR,Validé,7,False
TR-0000081,2023-10-11,FRN-034,CAT-001,CC-011,ACH-021,,51966.85,EUR,Validé,12,True
TR-0000082,2023-06-26,FRN-121,CAT-021,CC-016,ACH-034,,1718.78,EUR,Validé,9,False
TR-0000083,2023-04-04,FRN-071,CAT-006,CC-018,ACH-032,CTR-020,3933.6,EUR,Validé,5,False
TR-0000084,2023-07-26,FRN-153,CAT-026,CC-008,ACH-002,,17601.32,EUR,Validé,10,True
TR-0000085,2023-12-08,FRN-068,CAT-005,CC-007,ACH-004,CTR-023,3470.84,EUR,Validé,4,False
TR-0000086,2023-01-14,FRN-172,CAT-030,CC-007,ACH-016,,1377.78,EUR,Validé,10,True
TR-0000087,2023-09-07,FRN-167,CAT-030,CC-008,ACH-005,CTR-064,2334.52,EUR,Validé,6,False
TR-0000088,2023-07-12,FRN-158,CAT-022,CC-011,ACH-019,,1850.79,EUR,Validé,15,True
TR-0000089,2023-01-06,FRN-102,CAT-014,CC-008,ACH-011,CTR-037,247.46,EUR,Validé,2,False
TR-0000090,2023-11-21,FRN-007,CAT-002,CC-003,ACH-012,CTR-015,51772.76,EUR,Validé,5,False
TR-0000091,2023-01-08,FRN-096,CAT-012,CC-011,ACH-020,CTR-038,988.93,EUR,Validé,4,False
TR-0000092,2023-05-22,FRN-132,CAT-017,CC-012,ACH-018,,4421.88,EUR,Validé,7,False
TR-0000093,2023-04-24,FRN-194,CAT-039,CC-002,ACH-007,,1414.54,EUR,Validé,3,False
TR-0000094,2023-10-03,FRN-180,CAT-031,CC-008,ACH-008,,7097.66,EUR,Validé,10,True
TR-0000095,2023-02-08,FRN-050,CAT-001,CC-006,ACH-006,,25598.71,EUR,Validé,21,True
TR-0000096,2023-01-07,FRN-171,CAT-029,CC-003,ACH-007,,3005.67,EUR,Validé,1,False
TR-0000097,2023-04-13,FRN-091,CAT-015,CC-017,ACH-034,CTR-034,1249.88,EUR,Validé,5,False
TR-0000098,2023-04-14,FRN-142,CAT-026,CC-014,ACH-025,CTR-058,6985.06,EUR,Validé,3,False
TR-0000099,2023-05-16,FRN-173,CAT-030,CC-013,ACH-027,,4372.68,EUR,Validé,19,True
TR-0000100,2023-12-04,FRN-186,CAT-035,CC-009,ACH-023,CTR-067,3430.39,EUR,Validé,3,False
TR-0000101,2023-12-02,FRN-099,CAT-012,CC-013,ACH-028,,441.78,EUR,Validé,14,True
TR-0000102,2023-09-26,FRN-015,CAT-001,CC-006,ACH-015,CTR-012,23816.8,EUR,Validé,2,False
TR-0000103,2023-10-25,FRN-077,CAT-007,C-001,ACH-015,,18052.46,EUR,Validé,5,False
TR-0000104,2023-11-26,FRN-047,CAT-001,CC-013,ACH-029,,18621.25,EUR,Validé,7,True
TR-0000105,2023-04-03,FRN-094,CAT-013,CC-003,ACH-013,CTR-035,922.09,EUR,Validé,8,False
TR-0000106,2023-03-03,FRN-102,CAT-012,CC-006,ACH-007,,624.25,EUR,En attente,4,False
TR-0000107,2023-03-05,FRN-119,CAT-020,CC-008,ACH-015,CTR-045,6159.26,EUR,Validé,5,False
TR-0000108,2023-02-03,FRN-095,CAT-010,CC-019,ACH-039,CTR-040,461.85,EUR,Validé,1,False
TR-0000109,2023-08-21,FRN-185,CAT-034,C-001,ACH-001,CTR-067,13899.9,EUR,Validé,3,False
TR-0000110,2023-05-01,FRN-094,CAT-012,CC-009,ACH-023,CTR-035,536.47,EUR,Validé,6,False
TR-0000111,2023-03-27,FRN-126,CAT-018,C-001,ACH-015,,3374.49,EUR,Validé,6,False
TR-0000112,2023-06-26,FRN-026,CAT-001,CC-005,ACH-006,,14410.54,EUR,Validé,4,False
TR-0000113,2023-07-23,FRN-141,CAT-024,CC-002,ACH-005,CTR-059,10755.19,EUR,Validé,5,False
TR-0000114,2023-02-11,FRN-114,CAT-013,CC-005,ACH-014,,143.75,EUR,Validé,5,True
TR-0000115,2023-03-10,FRN-193,CAT-037,CC-010,ACH-023,CTR-070,207.72,EUR,En attente,2,False
TR-0000116,2023-10-18,FRN-112,CAT-015,CC-002,ACH-011,,218.21,EUR,Validé,3,True
TR-0000117,2023-08-26,FRN-031,CAT-002,CC-006,ACH-013,,15156.71,EUR,Validé,16,True
TR-0000118,2023-11-28,FRN-194,CAT-036,CC-004,ACH-004,,832.28,EUR,Validé,6,False
TR-0000119,2023-07-26,FRN-191,CAT-036,CC-002,ACH-008,CTR-070,361.68,EUR,Validé,3,False
TR-0000120,2023-02-26,FRN-147,CAT-023,CC-007,ACH-008,CTR-055,4210.51,EUR,Validé,4,False
TR-0000121,2023-03-08,FRN-041,CAT-001,CC-007,ACH-004,,14659.38,EUR,Validé,15,True
TR-0000122,2023-06-25,FRN-112,CAT-015,CC-006,ACH-008,,564.69,EUR,En attente,6,True
TR-0000123,2023-11-25,FRN-104,CAT-012,CC-008,ACH-013,,296.73,EUR,Validé,7,True
TR-0000124,2023-02-24,FRN-067,CAT-006,CC-014,ACH-030,CTR-026,10506.29,EUR,En attente,1,False
TR-0000125,2023-05-12,FRN-058,CAT-001,CC-003,ACH-006,,32210.36,EUR,Validé,18,True
TR-0000126,2023-10-28,FRN-192,CAT-039,CC-016,ACH-032,CTR-070,342.6,EUR,Validé,3,False
TR-0000127,2023-03-17,FRN-150,CAT-026,CC-004,ACH-008,,2017.68,EUR,Validé,4,False
TR-0000128,2023-07-02,FRN-093,CAT-012,CC-011,ACH-018,,388.54,EUR,Validé,7,False
TR-0000129,2023-12-19,FRN-197,CAT-036,CC-005,ACH-001,,486.97,EUR,Validé,19,True
TR-0000130,2023-10-08,FRN-145,CAT-022,CC-005,ACH-001,,4863.87,EUR,Validé,2,False
TR-0000131,2023-07-27,FRN-022,CAT-001,CC-004,ACH-012,,11526.02,EUR,Validé,5,False
TR-0000132,2023-08-01,FRN-092,CAT-010,CC-007,ACH-001,CTR-039,136.1,EUR,Validé,5,False
TR-0000133,2023-01-15,FRN-098,CAT-015,CC-011,ACH-021,CTR-034,567.21,EUR,Validé,1,False
TR-0000134,2023-05-04,FRN-096,CAT-013,CC-011,ACH-023,CTR-038,576.34,EUR,Validé,4,False
TR-0000135,2023-03-27,FRN-112,CAT-013,CC-014,ACH-028,,746.59,EUR,Validé,18,True
TR-0000136,2023-05-22,FRN-096,CAT-015,CC-002,ACH-012,CTR-037,683.92,EUR,Validé,4,False
TR-0000137,2023-12-05,FRN-121,CAT-018,CC-005,ACH-008,CTR-054,5498.0,EUR,Validé,3,False
TR-0000138,2023-11-11,FRN-144,CAT-024,CC-011,ACH-017,,2888.45,EUR,Validé,5,False
TR-0000139,2023-05-04,FRN-097,CAT-013,CC-016,ACH-036,,441.08,EUR,Validé,7,False
TR-0000140,2023-03-23,FRN-146,CAT-022,CC-003,ACH-016,,1889.36,EUR,Validé,5,False
TR-0000141,2023-07-13,FRN-133,CAT-021,CC-003,ACH-003,CTR-049,3687.54,EUR,Rejeté,4,False
TR-0000142,2023-02-27,FRN-009,CAT-002,CC-007,ACH-003,CTR-015,6310.95,EUR,Validé,2,False
TR-0000143,2023-11-04,FRN-096,CAT-014,C-001,ACH-013,CTR-037,509.07,EUR,En attente,9,False
TR-0000144,2023-03-16,FRN-200,CAT-036,CC-018,ACH-036,,1359.66,EUR,Validé,12,True
TR-0000145,2023-09-05,FRN-101,CAT-013,CC-006,ACH-014,,386.45,EUR,Validé,1,False
TR-0000146,2023-04-07,FRN-195,CAT-039,CC-006,ACH-007,,183.77,EUR,Validé,16,True
TR-0000147,2023-05-23,FRN-143,CAT-025,CC-002,ACH-012,CTR-055,6146.08,EUR,Validé,4,False
TR-0000148,2023-06-16,FRN-103,CAT-015,CC-004,ACH-008,,784.81,EUR,Validé,5,False
TR-0000149,2023-12-07,FRN-002,CAT-002,CC-020,ACH-037,CTR-002,19560.35,EUR,Validé,4,False
TR-0000150,2023-05-12,FRN-097,CAT-013,CC-007,ACH-006,,691.84,EUR,Validé,7,False
TR-0000151,2023-03-25,FRN-111,CAT-010,CC-009,ACH-018,,752.42,EUR,Validé,9,True
TR-0000152,2023-12-18,FRN-176,CAT-029,CC-008,ACH-001,,10990.18,EUR,Validé,12,True
TR-0000153,2023-04-25,FRN-156,CAT-026,CC-015,ACH-029,,12086.19,EUR,En attente,20,True
TR-0000154,2023-03-19,FRN-046,CAT-001,CC-002,ACH-013,,27441.06,EUR,Validé,6,True
TR-0000155,2023-09-20,FRN-102,CAT-014,C-001,ACH-015,,1332.28,EUR,Validé,7,False
TR-0000156,2023-06-10,FRN-119,CAT-019,CC-019,ACH-037,CTR-045,2942.3,EUR,Validé,4,False
TR-0000157,2023-04-06,FRN-119,CAT-020,CC-011,ACH-022,CTR-051,7091.9,EUR,Validé,5,False
TR-0000158,2023-09-22,FRN-113,CAT-015,CC-007,ACH-003,,672.71,EUR,Validé,17,True
TR-0000159,2023-09-19,FRN-164,CAT-030,CC-008,ACH-016,,1827.89,EUR,Validé,4,False
TR-0000160,2023-06-09,FRN-199,CAT-037,CC-019,ACH-037,,334.17,EUR,Validé,1,True
TR-0000161,2023-10-14,FRN-152,CAT-026,CC-003,ACH-013,,6384.63,EUR,En attente,7,True
TR-0000162,2023-08-12,FRN-158,CAT-026,CC-007,ACH-006,,3051.79,EUR,Validé,11,True
TR-0000163,2023-05-18,FRN-091,CAT-013,CC-013,ACH-029,,215.28,EUR,Validé,1,False
TR-0000164,2023-03-13,FRN-070,CAT-007,CC-002,ACH-002,CTR-022,3613.27,EUR,En attente,4,False
TR-0000165,2023-07-07,FRN-128,CAT-021,CC-009,ACH-023,CTR-047,2100.31,EUR,Validé,4,False
TR-0000166,2023-02-27,FRN-097,CAT-010,CC-002,ACH-001,,697.81,EUR,Validé,5,False
TR-0000167,2023-06-05,FRN-033,CAT-002,CC-006,ACH-003,,13280.51,EUR,Validé,10,True
TR-0000168,2023-11-26,FRN-093,CAT-013,CC-009,ACH-023,CTR-038,987.05,EUR,Validé,2,False
TR-0000169,2023-02-09,FRN-116,CAT-021,CC-005,ACH-012,CTR-042,5684.38,EUR,Validé,4,False
TR-0000170,2023-04-02,FRN-072,CAT-008,CC-007,ACH-005,CTR-021,5471.1,EUR,Validé,6,False
TR-0000171,2023-03-07,FRN-026,CAT-001,CC-008,ACH-001,,48188.04,EUR,Validé,6,False
TR-0000172,2023-01-03,FRN-140,CAT-021,CC-002,ACH-005,,1655.11,EUR,Validé,20,True
TR-0000173,2023-08-11,FRN-091,CAT-013,CC-020,ACH-038,,255.48,EUR,Validé,5,False
TR-0000174,2023-10-17,FRN-104,CAT-015,CC-017,ACH-033,,1842.36,EUR,Validé,10,True
TR-0000175,2023-11-23,FRN-197,CAT-036,C-001,ACH-012,,305.31,EUR,En attente,10,True
TR-0000176,2023-10-04,FRN-105,CAT-013,CC-015,ACH-028,,654.52,EUR,Validé,11,True
TR-0000177,2023-02-23,FRN-126,CAT-021,C-001,ACH-008,,2909.06,EUR,Validé,4,False
TR-0000178,2023-08-12,FRN-108,CAT-012,CC-007,ACH-012,,255.36,EUR,Validé,6,True
TR-0000179,2023-06-10,FRN-162,CAT-028,CC-007,ACH-003,CTR-063,2159.58,EUR,Validé,4,False
TR-0000180,2023-10-07,FRN-010,CAT-002,CC-009,ACH-020,CTR-016,35113.96,EUR,Validé,4,False
TR-0000181,2023-11-21,FRN-167,CAT-029,CC-003,ACH-005,CTR-064,2991.33,EUR,Validé,5,False
TR-0000182,2023-12-26,FRN-108,CAT-012,CC-005,ACH-012,,1610.01,EUR,Validé,14,True
TR-0000183,2023-09-14,FRN-039,CAT-004,CC-011,ACH-021,,16588.46,EUR,Validé,9,True
TR-0000184,2023-11-04,FRN-110,CAT-014,CC-017,ACH-032,,2776.29,EUR,Validé,8,True
TR-0000185,2023-07-07,FRN-106,CAT-015,CC-010,ACH-019,,630.51,EUR,Validé,15,True
TR-0000186,2023-06-08,FRN-095,CAT-010,CC-017,ACH-034,CTR-040,420.55,EUR,En attente,7,False
TR-0000187,2023-04-23,FRN-110,CAT-010,CC-012,ACH-024,,147.04,EUR,En attente,6,True
TR-0000188,2023-08-24,FRN-191,CAT-039,CC-002,ACH-011,CTR-070,597.97,EUR,En attente,2,False
TR-0000189,2023-04-05,FRN-144,CAT-023,CC-013,ACH-026,,13746.39,EUR,Validé,4,False
TR-0000190,2023-06-23,FRN-099,CAT-014,CC-014,ACH-029,,454.01,EUR,Validé,15,True
TR-0000191,2023-06-22,FRN-110,CAT-012,CC-010,ACH-019,,1210.22,EUR,Validé,11,True
TR-0000192,2023-04-19,FRN-166,CAT-031,CC-017,ACH-036,CTR-065,3606.78,EUR,Validé,7,False
TR-0000193,2023-10-14,FRN-121,CAT-018,CC-010,ACH-023,,6332.41,EUR,Validé,5,False
TR-0000194,2023-01-07,FRN-124,CAT-020,CC-019,ACH-037,CTR-046,1451.68,EUR,Validé,4,False
TR-0000195,2023-09-17,FRN-107,CAT-014,CC-017,ACH-031,,589.03,EUR,Validé,7,True
TR-0000196,2023-11-21,FRN-073,CAT-006,CC-002,ACH-007,,6209.66,EUR,Validé,8,False
TR-0000197,2023-03-24,FRN-113,CAT-015,CC-002,ACH-006,,1171.71,EUR,Validé,11,True
TR-0000198,2023-03-23,FRN-066,CAT-008,CC-005,ACH-008,,6946.63,EUR,Validé,4,False
TR-0000199,2023-04-09,FRN-197,CAT-036,CC-011,ACH-022,,829.09,EUR,Validé,5,True
TR-0000200,2023-04-13,FRN-077,CAT-005,CC-007,ACH-003,CTR-024,10458.12,EUR,Validé,3,False
TR-0000201,2023-04-19,FRN-102,CAT-012,CC-015,ACH-029,,1015.04,EUR,Validé,6,False
TR-0000202,2023-10-06,FRN-102,CAT-015,CC-013,ACH-027,,421.99,EUR,Validé,3,False
TR-0000203,2023-03-09,FRN-162,CAT-030,CC-005,ACH-016,CTR-063,3454.86,EUR,Validé,1,False
TR-0000204,2023-01-17,FRN-102,CAT-015,CC-004,ACH-015,,361.5,EUR,Validé,1,False
TR-0000205,2023-11-25,FRN-094,CAT-013,CC-011,ACH-017,CTR-035,592.86,EUR,Validé,4,False
TR-0000206,2023-02-20,FRN-182,CAT-035,CC-019,ACH-037,CTR-069,13426.95,EUR,En attente,3,False
TR-0000207,2023-06-17,FRN-165,CAT-030,CC-006,ACH-015,CTR-062,3584.84,EUR,Validé,4,False
TR-0000208,2023-07-08,FRN-070,CAT-007,CC-018,ACH-031,CTR-022,2805.69,EUR,Validé,5,False
TR-0000209,2023-04-26,FRN-104,CAT-011,CC-003,ACH-004,,314.33,EUR,Validé,4,True
TR-0000210,2023-07-01,FRN-080,CAT-007,CC-009,ACH-019,,4866.67,EUR,Validé,2,True
TR-0000211,2023-09-19,FRN-109,CAT-014,CC-003,ACH-012,,391.72,EUR,Validé,14,True
TR-0000212,2023-09-10,FRN-106,CAT-010,CC-019,ACH-037,,439.48,EUR,Validé,4,True
TR-0000213,2023-07-27,FRN-093,CAT-015,CC-009,ACH-019,CTR-039,305.82,EUR,Validé,7,False
TR-0000214,2023-09-24,FRN-102,CAT-014,CC-003,ACH-016,,2300.33,EUR,Validé,7,False
TR-0000215,2023-08-15,FRN-054,CAT-002,C-001,ACH-006,,80184.38,EUR,Validé,15,True
TR-0000216,2023-10-28,FRN-018,CAT-001,CC-007,ACH-012,,35162.66,EUR,Validé,3,False
TR-0000217,2023-09-10,FRN-042,CAT-001,CC-004,ACH-013,,50060.23,EUR,Validé,13,True
TR-0000218,2023-12-15,FRN-151,CAT-025,CC-020,ACH-040,,4867.16,EUR,Validé,10,False
TR-0000219,2023-06-01,FRN-200,CAT-036,CC-018,ACH-032,,343.92,EUR,Rejeté,7,True
TR-0000220,2023-11-17,FRN-170,CAT-027,CC-019,ACH-037,,3807.56,EUR,Validé,5,False
TR-0000221,2023-04-25,FRN-043,CAT-002,CC-019,ACH-039,,29101.37,EUR,Validé,9,True
TR-0000222,2023-05-22,FRN-078,CAT-005,CC-019,ACH-040,,3034.9,EUR,Validé,3,False
TR-0000223,2023-05-11,FRN-016,CAT-002,CC-011,ACH-020,CTR-006,3366.63,EUR,Validé,4,False
TR-0000224,2023-09-13,FRN-098,CAT-010,CC-005,ACH-011,CTR-034,942.9,EUR,Validé,5,False
TR-0000225,2023-02-20,FRN-161,CAT-031,CC-016,ACH-032,,8252.31,EUR,Validé,4,False
TR-0000226,2023-07-27,FRN-098,CAT-014,C-001,ACH-006,CTR-034,320.19,EUR,Validé,4,False
TR-0000227,2023-07-11,FRN-145,CAT-024,CC-007,ACH-001,,3312.3,EUR,Validé,2,False
TR-0000228,2023-09-01,FRN-124,CAT-021,CC-020,ACH-037,CTR-043,4598.66,EUR,Validé,5,False
TR-0000229,2023-08-12,FRN-099,CAT-011,CC-018,ACH-033,,350.93,EUR,Validé,6,True
TR-0000230,2023-12-14,FRN-107,CAT-015,CC-004,ACH-007,,1058.67,EUR,Validé,4,True
TR-0000231,2023-10-28,FRN-169,CAT-030,CC-013,ACH-030,CTR-065,2224.96,EUR,Validé,1,False
TR-0000232,2023-03-02,FRN-194,CAT-038,C-001,ACH-013,,314.49,EUR,Validé,3,False
TR-0000233,2023-08-26,FRN-106,CAT-014,CC-009,ACH-017,,629.28,EUR,Validé,11,True
TR-0000234,2023-06-16,FRN-107,CAT-012,CC-006,ACH-001,,1462.61,EUR,Validé,14,True
TR-0000235,2023-02-10,FRN-067,CAT-005,CC-004,ACH-001,CTR-026,2710.97,EUR,Validé,2,False
TR-0000236,2023-07-04,FRN-121,CAT-020,CC-004,ACH-002,,4499.17,EUR,Validé,5,False
TR-0000237,2023-07-02,FRN-123,CAT-017,CC-012,ACH-022,CTR-054,2735.63,EUR,Rejeté,7,False
TR-0000238,2023-11-17,FRN-096,CAT-010,CC-006,ACH-006,CTR-037,892.32,EUR,Validé,5,False
TR-0000239,2023-02-05,FRN-192,CAT-037,CC-005,ACH-007,CTR-070,466.63,EUR,Validé,6,False
TR-0000240,2023-11-11,FRN-007,CAT-001,CC-006,ACH-001,CTR-015,11049.07,EUR,Validé,7,False
TR-0000241,2023-03-06,FRN-186,CAT-033,CC-004,ACH-001,,9943.4,EUR,Validé,4,False
TR-0000242,2023-03-02,FRN-194,CAT-038,C-001,ACH-005,CTR-070,244.44,EUR,Validé,6,False
TR-0000243,2023-10-07,FRN-091,CAT-011,CC-002,ACH-008,,304.88,EUR,Validé,2,False
TR-0000244,2023-01-24,FRN-134,CAT-021,CC-008,ACH-016,,2288.69,EUR,Validé,1,False
